url,price,title,description,date,email1,email2,location,address,latitude,longitude,gender_preference,dynata_id1,template1,response1,dynata_id2,template2,response2
https://sfbay.craigslist.org/,1638,$1500 Master Bedroom,Great location,2025-08-07T04:59:07-0700,d7e17e315d6ce44b4ec84a61@hous.craigslist.org,93f10e497f5ae3c15faf49ae@hous.craigslist.org,berkeley,,37.6569,-122.1168,either,100006,temp1,no,100002,temp3,example
https://sfbay.craigslist.org/,1055,$900 Shared Room,Nice place,2025-08-03T21:07:07-0700,fcce608cd276259755608bca@hous.craigslist.org,f5c1929ce5bc55ed906ba10d@hous.craigslist.org,berkeley,,37.7965,-122.2433,either,100005,temp2,yes,100004,temp2,yes
https://sfbay.craigslist.org/,1867,$650 Cozy Room,Nice place,2025-08-07T04:30:25-0700,8d8cfb799fc25d3b3adde829@hous.craigslist.org,bd25f319cf0ddb9bbc652afb@hous.craigslist.org,san francisco,,37.6285,-122.1319,male,100001,temp2,no,100004,temp3,pending
https://sfbay.craigslist.org/,886,$650 Cozy Room,Fully furnished,2025-08-05T13:22:41-0700,c91b14bc03b89b9f39b75e53@hous.craigslist.org,e6401301e6be14cbab4904c3@hous.craigslist.org,berkeley,,37.7801,-122.1695,male,100004,temp2,pending,100006,temp1,example
https://sfbay.craigslist.org/,1533,$900 Shared Room,Great location,2025-07-31T19:40:48-0700,29a080f01a27e51c51b44431@hous.craigslist.org,720193f9faa7f5a8fbfff4d4@hous.craigslist.org,berkeley,,37.8552,-122.4672,female,100007,temp1,example,100007,temp1,yes
https://sfbay.craigslist.org/,576,$1500 Master Bedroom,Fully furnished,2025-08-04T18:44:30-0700,8e5390036b4f26f3f017672e@hous.craigslist.org,a90d5b7bfb61d64e602d0316@hous.craigslist.org,oakland,,37.8404,-122.1861,male,100008,temp1,pending,100005,temp1,pending
https://sfbay.craigslist.org/,1758,$1500 Master Bedroom,Great location,2025-08-06T22:49:10-0700,ad1d56707847eec4ddca6e19@hous.craigslist.org,08dea6e24a56a8feb9848077@hous.craigslist.org,oakland,,37.456,-122.1328,either,100004,temp3,example,100008,temp2,yes
https://sfbay.craigslist.org/,750,$900 Shared Room,Quiet area,2025-08-08T21:16:28-0700,5658dbde07a25b21de6c1fe4@hous.craigslist.org,8a56a84e045842d1a988e86e@hous.craigslist.org,oakland,,37.8579,-122.1843,male,100003,temp2,yes,100009,temp2,yes
https://sfbay.craigslist.org/,1345,$900 Shared Room,Fully furnished,2025-08-08T03:39:19-0700,752f3751aa446c04fbc29767@hous.craigslist.org,46f15e476d0c898d984489d5@hous.craigslist.org,oakland,,37.4249,-122.191,male,100007,temp2,no,100007,temp1,example
https://sfbay.craigslist.org/,740,$650 Cozy Room,Great location,2025-08-01T16:31:08-0700,71dd97e500dd75dc6a9d1d34@hous.craigslist.org,b1790d003b2a81f34656a209@hous.craigslist.org,san francisco,,37.4661,-122.0539,either,100002,temp3,no,100009,temp2,no
https://sfbay.craigslist.org/,1194,$1500 Master Bedroom,Close to campus,2025-07-27T11:33:11-0700,50ef919ef08e7820c5192841@hous.craigslist.org,dac1c1b811921b5cfde75734@hous.craigslist.org,oakland,,37.6918,-122.0142,male,100008,temp3,no,100007,temp2,yes
https://sfbay.craigslist.org/,1886,$650 Cozy Room,Quiet area,2025-07-26T10:21:01-0700,440397cb74193a949f5593da@hous.craigslist.org,4fab900c97b7c6e64b106e4c@hous.craigslist.org,berkeley,,37.816,-122.2437,female,100003,temp2,pending,100007,temp2,example
